Code Insee,Commune,Latitude,Longitude
02207,Commenchon,49.642,3.151
02212,Condren,49.637,3.277
02214,Contescourt,49.792,3.234
02216,Corcy,49.255,3.197
02217,Coucy-le-Château-Auffrique,49.516,3.316
02219,Coucy-la-Ville,49.541,3.344
02221,Coupru,49.031,3.274
02222,Courbes,49.682,3.46
02232,Coyolles,49.213,3.013
02242,Crouttes-sur-Marne,48.979,3.248
02244,Crupilly,49.931,3.752
02246,Cugny,49.703,3.154
02248,Cuirieux,49.683,3.82
02251,Cuiry-lès-Iviers,49.766,4.104
02257,Dallon,49.824,3.23
02258,Dammard,49.147,3.177
02259,Dampleux,49.241,3.144
02260,Danizy,49.667,3.401
02261,Dercy,49.71,3.685
02262,Deuillet,49.629,3.36
02265,Dohis,49.767,4.142
02268,Domptin,49.016,3.273
02269,Dorengt,49.965,3.703
02270,Douchy,49.794,3.13
02273,Dury,49.751,3.134
02274,Ébouleau,49.678,3.883
02275,Effry,49.919,3.988
02278,Éparcy,49.886,4.07
02283,Erlon,49.735,3.705
02284,Erloy,49.92,3.838
02286,Esquéhéries,49.982,3.753
02287,Essigny-le-Grand,49.774,3.272
02298,Étreux,50.0,3.659
02302,Faverolles,49.227,3.178
02304,La Fère,49.666,3.369
02307,La Ferté-Milon,49.176,3.142
02308,Fesmy-le-Sart,50.048,3.698
02312,La Flamengrie,50.0,3.925
02313,Flavigny-le-Grand-et-Beaurain,49.887,3.674
02315,Flavy-le-Martel,49.705,3.194
02316,Fleury,49.265,3.16
02317,Fluquières,49.8,3.157
02318,Folembray,49.549,3.293
02320,Fontaine-lès-Clercs,49.808,3.212
02324,Fontenelle,50.031,3.846
02327,Foreste,49.806,3.096
02329,Fourdrain,49.619,3.46
02333,Fresnes-sous-Coucy,49.555,3.37
02335,Fressancourt,49.628,3.427
02336,Frières-Faillouël,49.684,3.237
02337,Froidestrées,49.943,3.91
02338,Froidmont-Cohartille,49.682,3.721
02340,Gauchy,49.824,3.286
02342,Gergny,49.933,3.93
02343,Germaine,49.812,3.119
02345,Gibercourt,49.739,3.283
02350,Goudelancourt-lès-Pierrepont,49.678,3.852
02354,Grandrieux,49.729,4.188
02359,Grugies,49.81,3.275
02361,Guise,49.896,3.625
02362,Guivry,49.652,3.121
02363,Guny,49.512,3.261
02366,Hannapes,49.977,3.614
02367,Happencourt,49.783,3.183
02368,Haramont,49.287,3.032
02375,Hautevesnes,49.109,3.236
02376,Hauteville,49.888,3.524
02378,La Hérie,49.884,4.044
02379,Le Hérie-la-Viéville,49.822,3.654
02380,Hinacourt,49.746,3.294
02381,Hirson,49.943,4.105
02385,Housset,49.796,3.695
02386,Iron,49.95,3.665
02387,Itancourt,49.803,3.349
02388,Iviers,49.786,4.136
02397,Jussy,49.717,3.236
02402,Lanchy,49.829,3.074
02403,Landifay-et-Bertaignemont,49.826,3.604
02405,Landouzy-la-Ville,49.856,4.05
02410,Largny-sur-Automne,49.261,3.054
02414,Lavaqueresse,49.946,3.717
02418,Lerzy,49.95,3.881
02419,Leschelle,49.961,3.777
02422,Lesquielles-Saint-Germain,49.932,3.628
02425,Leuze,49.858,4.17
02431,Liez,49.692,3.3
02433,Lislet,49.676,4.021
02435,Logny-lès-Aubenton,49.833,4.22
02438,Longpont,49.284,3.221
02441,Louâtre,49.253,3.242
02444,Lugny,49.782,3.812
02445,Luzoir,49.927,3.96
02446,Ly-Fontaine,49.732,3.311
02448,Mâchecourt,49.652,3.838
02449,Macogny,49.159,3.218
02450,Macquigny,49.873,3.571
02455,Malzy,49.921,3.73
02456,Manicamp,49.565,3.18
02460,Marcy-sous-Marle,49.746,3.734
02461,Marest-Dampcourt,49.594,3.146
02463,Marfontaine,49.808,3.764
02465,Marigny-en-Orxois,49.053,3.223
02466,Marizy-Sainte-Geneviève,49.182,3.198
02467,Marizy-Saint-Mard,49.182,3.228
02468,Marle,49.745,3.765
02469,Marly-Gomont,49.891,3.785
02470,Martigny,49.867,4.134
02473,Mayot,49.709,3.398
02474,Mennessis,49.692,3.275
02478,Merlieux-et-Fouquerolles,49.514,3.499
02481,Mesnil-Saint-Laurent,49.829,3.364
02483,Mézières-sur-Oise,49.792,3.387
02491,Monceau-le-Neuf-et-Faucouzy,49.785,3.631
02492,Monceau-lès-Leups,49.662,3.486
02494,Monceau-sur-Oise,49.91,3.7
02495,Mondrepuis,49.964,4.051
02496,Monnes,49.146,3.229
02502,Montcornet,49.689,4.029
02503,Mont-d'Origny,49.852,3.527
02504,Montescourt-Lizerolles,49.736,3.262
02506,Montgobert,49.29,3.174
02513,Montigny-le-Franc,49.688,3.918
02516,Montigny-sous-Marle,49.741,3.804
02519,Montloué,49.668,4.063
02522,Mont-Saint-Jean,49.793,4.211
02529,Mortiers,49.694,3.664
02532,Moÿ-de-l'Aisne,49.75,3.351
02542,Neuflieux,49.616,3.16
02543,Neuilly-Saint-Front,49.163,3.264
02544,Neuve-Maison,49.929,4.041
02545,La Neuville-Bosmont,49.714,3.834
02546,La Neuville-en-Beine,49.676,3.156
02547,La Neuville-Housset,49.788,3.732
02548,La Neuville-lès-Dorengt,49.983,3.686
02549,Neuville-Saint-Amand,49.821,3.334
02552,Neuvillette,49.855,3.468
02555,Nogent-l'Artaud,48.943,3.333
02556,Noircourt,49.669,4.094
02557,Noroy-sur-Ourcq,49.204,3.207
02558,Le Nouvion-en-Thiérache,50.009,3.809
02559,Nouvion-et-Catillon,49.708,3.494
02560,Nouvion-le-Comte,49.708,3.461
02563,Noyales,49.908,3.538
02566,Ognes,49.614,3.191
02567,Ohis,49.918,4.012
02568,Oigny-en-Valois,49.214,3.13
02569,Oisy,50.023,3.653
02570,Ollezy,49.73,3.146
02574,Origny-en-Thiérache,49.886,4.011
02575,Origny-Sainte-Benoite,49.827,3.529
02584,Papleux,50.017,3.88
02586,Parfondeval,49.744,4.162
02591,Pargny-les-Bois,49.732,3.618
02592,Parpeville,49.794,3.564
02594,Passy-en-Valois,49.162,3.184
02596,Pavant,48.953,3.284
02599,Pierremande,49.567,3.258
02600,Pierrepont,49.648,3.788
02602,Pinon,49.488,3.462
02604,Pithon,49.756,3.104
02605,Pleine-Selve,49.797,3.526
02616,Pont-Saint-Mard,49.494,3.279
02619,Prémontré,49.549,3.418
02622,Priez,49.131,3.263
02624,Proisy,49.891,3.752
02625,Proix,49.902,3.574
02628,Puiseux-en-Retz,49.293,3.134
02629,Puisieux-et-Clanlieu,49.847,3.664
02631,Quierzy,49.564,3.146
02632,Quincy-Basse,49.509,3.385
02634,Raillimont,49.702,4.159
02636,Regny,49.834,3.421
02638,Remies,49.679,3.525
02639,Remigny,49.714,3.295
02640,Renansart,49.734,3.453
02642,Résigny,49.741,4.21
02647,Ribeauville,50.037,3.588
02648,Ribemont,49.788,3.47
02650,Rocquigny,50.019,3.973
02651,Rogécourt,49.649,3.416
02652,Rogny,49.767,3.821
02653,Romeny-sur-Marne,48.985,3.334
