Code INSEE,Commune,Latitude,Longitude
02172,Chaudun,49.315,3.253
02175,Chavigny,49.423,3.306
02176,Chavonne,49.407,3.562
02177,Chérêt,49.514,3.687
02178,Chermizy-Ailles,49.463,3.72
02180,Chéry-lès-Pouilly,49.649,3.594
02183,Chevregny,49.466,3.594
02184,Chevresis-Monceau,49.762,3.584
02186,Chézy-sur-Marne,48.984,3.382
02187,Chierry,49.035,3.433
02189,Chivres-en-Laonnois,49.627,3.856
02190,Chivres-Val,49.403,3.438
02191,Chivy-lès-Étouvelles,49.533,3.586
02193,Cierges,49.165,3.604
02195,Ciry-Salsogne,49.368,3.468
02196,Clacy-et-Thierret,49.552,3.566
02198,Clamecy,49.428,3.364
02200,Clermont-les-Fermes,49.66,3.943
02201,Cœuvres-et-Valsery,49.33,3.153
02203,Coincy,49.163,3.436
02205,Colligis-Crandelain,49.467,3.63
02209,Condé-en-Brie,49.002,3.561
02210,Condé-sur-Aisne,49.401,3.466
02213,Connigis,49.036,3.533
02218,Coucy-lès-Eppes,49.557,3.777
02220,Coulonges-Cohan,49.198,3.628
02223,Courboin,48.996,3.507
02225,Courchamps,49.116,3.263
02226,Courmelles,49.343,3.302
02227,Courmont,49.138,3.576
02230,Couvrelles,49.334,3.485
02231,Couvron-et-Aumencourt,49.646,3.524
02233,Cramaille,49.229,3.452
02236,Crécy-au-Mont,49.484,3.312
02237,Crécy-sur-Serre,49.699,3.623
02238,Crépy,49.608,3.512
02239,Crézancy,49.043,3.511
02240,Croix-Fonsomme,49.931,3.394
02241,La Croix-sur-Ourcq,49.16,3.35
02243,Crouy,49.408,3.366
02245,Cuffies,49.408,3.322
02249,Cuiry-Housse,49.29,3.488
02253,Cuisy-en-Almont,49.421,3.249
02254,Cutry,49.344,3.191
02255,Cys-la-Commune,49.384,3.572
02256,Dagny-Lambercy,49.769,4.042
02266,Dolignon,49.734,4.086
02267,Dommiers,49.329,3.216
02272,Droizy,49.277,3.39
02276,Englancourt,49.926,3.807
02277,Épagny,49.472,3.254
02279,Épaux-Bézu,49.103,3.354
02280,Épieds,49.104,3.451
02282,Eppes,49.552,3.74
02289,Essises,48.967,3.414
02290,Essômes-sur-Marne,49.034,3.34
02291,Estrées,49.971,3.28
02292,Étampes-sur-Marne,49.032,3.418
02293,Étaves-et-Bocquiaux,49.931,3.451
02294,Étouvelles,49.519,3.582
02295,Étréaupont,49.896,3.924
02297,Étrépilly,49.082,3.348
02305,Fère-en-Tardenois,49.188,3.511
02306,La Ferté-Chevresis,49.741,3.551
02309,Festieux,49.525,3.76
02310,Fieulaine,49.902,3.446
02311,Filain,49.453,3.557
02319,Fonsomme,49.901,3.396
02321,Fontaine-lès-Vervins,49.854,3.905
02323,Fontaine-Uterte,49.925,3.368
02326,Fontenoy,49.41,3.194
02328,Fossoy,49.045,3.485
02331,Franqueville,49.816,3.798
02332,Fresnes-en-Tardenois,49.143,3.549
02334,Fresnoy-le-Grand,49.954,3.419
02341,Gercy,49.816,3.871
02346,Gizy,49.61,3.768
02347,Gland,49.058,3.457
02352,Gouy,49.999,3.265
02353,Grandlup-et-Fay,49.651,3.736
02356,Grisolles,49.13,3.372
02357,Gronard,49.796,3.882
02358,Grougis,49.951,3.531
02369,Harcigny,49.803,3.983
02370,Hargicourt,49.966,3.191
02372,Hartennes-et-Taux,49.279,3.358
02373,Hary,49.797,3.919
02377,Haution,49.872,3.827
02384,Houry,49.786,3.848
02391,Jeantes,49.813,4.067
02392,Joncourt,49.96,3.304
02393,Jouaignes,49.293,3.528
02395,Jumencourt,49.512,3.349
02398,Juvigny,49.449,3.315
02400,Laffaux,49.45,3.43
02401,Laigny,49.863,3.861
02404,Landouzy-la-Cour,49.844,3.994
02406,Landricourt,49.505,3.37
02407,Laniscourt,49.547,3.534
02408,Laon,49.568,3.621
02411,Latilly,49.154,3.312
02412,Launoy,49.263,3.405
02413,Laval-en-Laonnois,49.503,3.588
02415,Laversine,49.353,3.155
02416,Lemé,49.844,3.758
02417,Lempire,49.995,3.174
02421,Lesges,49.31,3.5
02423,Leuilly-sous-Coucy,49.473,3.353
02424,Leury,49.427,3.341
02427,Lhuys,49.273,3.542
02428,Licy-Clignon,49.102,3.265
02429,Lierval,49.488,3.622
02430,Liesse-Notre-Dame,49.611,3.817
02442,Loupeigne,49.241,3.525
02443,Lucy-le-Bocage,49.055,3.276
02447,Maast-et-Violaine,49.293,3.457
02457,Marchais,49.585,3.822
02462,Mareuil-en-Dôle,49.242,3.561
02464,Margival,49.433,3.406
02471,Martigny-Courpierre,49.49,3.687
02476,Mennevret,49.992,3.559
02477,Mercin-et-Vaux,49.371,3.271
02480,Mesbrecourt-Richecourt,49.71,3.537
02484,Mézy-Moulins,49.063,3.512
02485,Missy-aux-Bois,49.335,3.247
02486,Missy-lès-Pierrepont,49.628,3.784
02487,Missy-sur-Aisne,49.386,3.438
02488,Molain,50.034,3.53
02489,Molinchart,49.562,3.54
02490,Monampteuil,49.476,3.574
02493,Monceau-le-Waast,49.622,3.717
02497,Mons-en-Laonnois,49.538,3.555
02499,Montbavin,49.53,3.513
02500,Montbrehain,49.964,3.356
02501,Montchâlons,49.513,3.727
02505,Montfaucon,48.947,3.432
02507,Montgru-Saint-Hilaire,49.177,3.327
02508,Monthenault,49.489,3.656
02509,Monthiers,49.109,3.294
02510,Monthurel,49.028,3.552
02511,Montigny-en-Arrouaise,49.912,3.483
02514,Montigny-Lengrain,49.373,3.099
02515,Montigny-lès-Condé,48.983,3.566
02517,Montigny-sur-Crécy,49.715,3.584
02518,Montlevon,48.963,3.515
02524,Mont-Saint-Père,49.082,3.477
02526,Morgny-en-Thiérache,49.754,4.076
02527,Morsain,49.462,3.191
02528,Mortefontaine,49.336,3.08
02531,Moussy-Verneuil,49.413,3.637
02533,Muret-et-Crouttes,49.278,3.435
02535,Nampcelles-la-Cour,49.777,4.002
02536,Nampteuil-sous-Muret,49.305,3.434
02537,Nanteuil-la-Fosse,49.434,3.448
02538,Nanteuil-Notre-Dame,49.191,3.412
02539,Nauroy,49.951,3.259
02540,Nesles-la-Montagne,49.0,3.446
02550,Neuville-sur-Ailette,49.47,3.698
02551,Neuville-sur-Margival,49.455,3.399
02554,Nogentel,49.014,3.403
02561,Nouvion-le-Vineux,49.509,3.605
02562,Nouvron-Vingré,49.433,3.188
02564,Bernoy-le-Château,49.332,3.334
02573,Orgeval,49.504,3.703
02576,Osly-Courtil,49.4,3.237
02577,Ostel,49.43,3.565
02579,Oulchy-la-Ville,49.21,3.341
02580,Oulchy-le-Château,49.207,3.382
02583,Pancy-Courtecon,49.461,3.65
02585,Parcy-et-Tigny,49.27,3.329
02587,Parfondru,49.538,3.704
02589,Pargny-Filain,49.463,3.539
02593,Pasly,49.402,3.298
02598,Pernant,49.376,3.23
02606,Le Plessier-Huleu,49.239,3.348
02607,Ploisy,49.331,3.275
02608,Plomion,49.819,4.02
02609,Ployart-et-Vaurseine,49.493,3.74
02610,Pommiers,49.392,3.279
02612,Pont-Arcy,49.392,3.62
02617,Pouilly-sur-Serre,49.678,3.586
02618,Prémont,50.014,3.397
02620,Presles-et-Boves,49.39,3.54
02621,Presles-et-Thierny,49.514,3.625
02623,Prisces,49.772,3.863
02635,Ramicourt,49.958,3.331
02641,Renneval,49.739,4.037
02643,Ressons-le-Long,49.388,3.141
02644,Retheuil,49.319,3.004
02649,Rocourt-Saint-Martin,49.145,3.389
02655,Ronchères,49.14,3.602
02661,Royaucourt-et-Chailvet,49.512,3.538
02663,Rozières-sur-Crise,49.323,3.371
02665,Grand-Rozoy,49.242,3.382
02667,Saconin-et-Breuil,49.351,3.247
02670,Saint-Algis,49.894,3.826
02672,Saint-Bandry,49.364,3.15
02673,Saint-Christophe-à-Berry,49.429,3.13
02677,Saint-Eugène,49.016,3.517
02678,Sainte-Geneviève,49.725,4.074
02681,Saint-Gobert,49.804,3.832
02682,Saint-Mard,49.381,3.589
02687,Saint-Pierre-Aigle,49.312,3.196
02688,Saint-Pierre-lès-Franqueville,49.824,3.814
02697,Samoussy,49.587,3.743
02698,Sancy-les-Cheminots,49.439,3.476
02699,Saponay,49.214,3.484
02703,Seboncourt,49.963,3.494
02706,Septmonts,49.338,3.362
02709,Serain,50.025,3.363
02711,Serches,49.332,3.45
02712,Sergy,49.183,3.571
02713,Seringes-et-Nesles,49.212,3.559
02714,Sermoise,49.372,3.447
02722,Soissons,49.379,3.325
02724,Sommelans,49.135,3.293
02728,Sorbais,49.914,3.883
02730,Soupir,49.411,3.6
02736,Tartiers,49.44,3.232
02739,Terny-Sorny,49.447,3.369
02740,Thenailles,49.815,3.952
02744,Torcy-en-Valois,49.083,3.274
02747,Trefcon,49.859,3.089
02751,Trucy,49.472,3.611
02755,Urcel,49.494,3.557
02758,Vailly-sur-Aisne,49.411,3.52
02759,La Vallée-au-Blé,49.857,3.794
02760,La Vallée-Mulâtre,50.026,3.561
02762,Vassens,49.476,3.156
02763,Vasseny,49.356,3.489
02765,Vaucelles-et-Beffecourt,49.521,3.559
02767,Vauxrezis,49.42,3.277
02769,Vaux-Andigny,50.011,3.523
02770,Vauxbuin,49.357,3.296
02776,Vendhuile,50.012,3.209
02780,Venizel,49.368,3.392
02781,Verdilly,49.074,3.422
02784,Petit-Verly,49.958,3.563
02787,Verneuil-sur-Serre,49.644,3.679
02789,Vervins,49.835,3.925
02791,Veslud,49.539,3.731
02793,Vézaponin,49.467,3.223
02795,Vic-sur-Aisne,49.411,3.109
02799,Vierzy,49.287,3.278
02800,Viffort,48.958,3.47
02801,Vigneux-Hocquet,49.744,3.995
02804,Villemontoire,49.3,3.322
02805,Villeneuve-Saint-Germain,49.379,3.362
02806,Villeneuve-sur-Fère,49.171,3.476
02808,Villeret,49.949,3.188
02816,Villers-sur-Fère,49.172,3.532
02819,Vincy-Reuil-et-Magny,49.714,4.045
02821,Vivaise,49.623,3.564
02824,Vorges,49.518,3.651
02826,Voulpaix,49.839,3.833
02828,Vregny,49.414,3.42
02829,Vuillery,49.431,3.388
03001,Abrest,46.096,3.45
03002,Agonges,46.618,3.149
03006,Arfeuilles,46.143,3.743
03007,Arpheuilles-Saint-Priest,46.227,2.665
03008,Arronnes,46.052,3.575
03009,Aubigny,46.673,3.162
03011,Aurouër,46.683,3.305
03012,Autry-Issards,46.545,3.123
03013,Avermes,46.598,3.319
03014,Avrilly,46.332,3.967
03015,Bagneux,46.646,3.204
03016,Barberier,46.22,3.249
03018,Bayet,46.258,3.277
03019,Beaulon,46.587,3.669
03021,Bègues,46.123,3.143
03022,Bellenaves,46.206,3.066
03023,Bellerive-sur-Allier,46.122,3.397
03025,Bessay-sur-Allier,46.451,3.368
03026,Besson,46.481,3.255
03027,Bézenet,46.332,2.849
03029,Billy,46.232,3.44
03030,Biozat,46.081,3.289
03033,Bost,46.183,3.506
03035,Le Bouchaud,46.307,3.907
03036,Bourbon-l'Archambault,46.584,3.051
03038,Bransat,46.329,3.217
03039,Bresnay,46.434,3.249
03040,Bressolles,46.528,3.296
03043,Broût-Vernet,46.196,3.288
03044,Brugheas,46.073,3.366
03045,Busset,46.057,3.515
03047,La Celle,46.228,2.779
03049,Cesset,46.299,3.199
03050,La Chabanne,46.024,3.752
03052,Chamblet,46.328,2.713
03053,Chantelle,46.236,3.16
03054,Chapeau,46.492,3.516
03056,La Chapelle,46.089,3.588
03057,La Chapelle-aux-Chasses,46.66,3.53
03059,Chareil-Cintrat,46.266,3.23
03060,Charmeil,46.16,3.393
03061,Charmes,46.083,3.246
03062,Charroux,46.182,3.164
03065,Châtel-de-Neuvre,46.416,3.298
03066,Châtel-Montagne,46.1,3.717
03067,Châtelperron,46.397,3.633
03069,Châtillon,46.462,3.128
03073,Chemilly,46.478,3.313
03074,Chevagnes,46.608,3.564
03075,Chezelle,46.213,3.112
03076,Chézy,46.612,3.459
03077,Chirat-l'Église,46.246,3.032
03078,Chouvigny,46.126,3.005
03080,Cognat-Lyonne,46.107,3.298
03081,Colombier,46.267,2.794
03082,Commentry,46.279,2.749
03083,Contigny,46.346,3.315
03085,Coulandon,46.555,3.245
03089,Coutansouze,46.205,3.008
03090,Couzon,46.644,3.114
03091,Créchy,46.27,3.424
03092,Cressanges,46.444,3.171
03093,Creuzier-le-Neuf,46.178,3.463
03094,Creuzier-le-Vieux,46.161,3.434
03095,Cusset,46.138,3.483
03096,Deneuille-lès-Chantelle,46.253,3.146
03098,Désertines,46.357,2.627
03100,Diou,46.523,3.737
03102,Dompierre-sur-Besbre,46.531,3.676
03104,Doyet,46.343,2.792
03106,Durdat-Larequille,46.254,2.697
03107,Ébreuil,46.118,3.074
03109,Escurolles,46.142,3.268
03110,Espinasse-Vozelle,46.129,3.335
03112,Étroussat,46.22,3.221
03113,Ferrières-sur-Sichon,46.02,3.648
03115,Fleuriel,46.287,3.162
03116,Fourilles,46.244,3.198
03117,Franchesse,46.644,3.037
03118,Gannat,46.098,3.178
03119,Gannay-sur-Loire,46.718,3.596
03121,Gennetines,46.63,3.405
03122,Gipcy,46.511,3.051
03125,La Guillermie,45.981,3.645
03126,Hauterive,46.077,3.439
03129,Hyds,46.273,2.828
03131,Isserpent,46.154,3.618
03133,Jenzat,46.16,3.197
03134,Laféline,46.345,3.176
03135,Lalizolle,46.165,3.008
03139,Laprugne,45.994,3.763
03140,Lavault-Sainte-Anne,46.309,2.602
03141,Lavoine,45.974,3.687
03144,Liernolles,46.399,3.768
03145,Lignerolles,46.282,2.567
03146,Limoise,46.684,3.055
03148,Loriges,46.266,3.342
03149,Louchy-Montfand,46.308,3.245
03151,Louroux-de-Beaune,46.3,2.859
03156,Lusigny,46.572,3.49
03157,Magnet,46.217,3.511
03159,Malicorne,46.307,2.77
03160,Marcenat,46.237,3.397
03161,Marcillat-en-Combraille,46.17,2.634
03162,Marigny,46.58,3.21
03163,Mariol,46.025,3.486
03164,Le Mayet-d'École,46.165,3.241
03165,Le Mayet-de-Montagne,46.06,3.656
03166,Mazerier,46.132,3.182
03167,Mazirat,46.218,2.554
03169,Meillard,46.388,3.232
03170,Meillers,46.513,3.103
03171,Mercy,46.451,3.524
03174,Molles,46.115,3.556
03175,Monestier,46.263,3.104
03176,Monétay-sur-Allier,46.381,3.289
03177,Monétay-sur-Loire,46.435,3.825
03180,Montbeugny,46.528,3.474
03182,Monteignet-sur-l'Andelot,46.115,3.248
03184,Montilly,46.61,3.24
