Latitude,Longitude,Ville
43.9783,6.5958,Allons
44.241756,6.628532,Allos
47.0341301,3.6405092,Alluy
49.0294,6.8201,Altrippe
48.930833,6.980833,Altwiller
48.9304023,6.9797649,Altwiller
46.8470185,4.6850804,Aluze
49.2783312,6.5535778,Alzing
47.8362,6.4923,Amage
48.7542443,6.2791411,Amance
47.3765872,3.5781967,Amazy
47.9755,6.1538,Ambiévillers
47.6797516,6.4093054,"Amblans-et-
Velotte"
48.3117386,5.0155002,Ambonville
48.6338525,4.8373853,Ambrières
49.266569,5.6477661,Amel-sur-l'Étang
43.8567,6.8636,Amirat
49.2603613,6.1420739,Amnéville
47.8092168,4.5309997,Ampilly-le-Sec
49.0306024,6.3878009,Ancerville
48.5327811,6.8343842,Ancerviller
49.9296127,4.6708597,Anchamps
47.8637825,6.1160513,"Anchenoncourt-
et-Chazel"
49.3348009,5.881725,Anderny
47.9224582,5.5256135,Andilly-en-Bassigny
43.772333,6.782684,Andon
47.655798,6.5963723,Andornay
47.5188531,3.4847234,Andryes
47.5634948,4.0207271,Angely
47.6961886,7.0116403,Angeot
43.9436,6.5589,Angles
48.5845375,3.8146147,Anglure
48.663778,3.8976561,Angluzelles-et-Courcelles
47.8814302,6.2075691,Anjeux
47.5347,3.88658,Annay-la-Côte
47.5214744,3.8817798,Annéot
48.3843914,5.2692886,Annonville
43.967616,6.665955,Annot
47.6258056,4.0507214,Annoux
47.0775079,4.098942,Anost
48.1864,6.9464,Anould
48.1851024,6.9469287,Anould
49.2760476,5.868485,Anoux
47.8365347,5.6727581,Anrosey
47.3873555,6.5580444,Anteuil
47.3133431,3.7392934,Anthien
47.10086,4.55855,Antigny-la-Ville
46.9029156,4.411005,Antully
49.2627664,6.4660489,Anzeling
49.4591762,6.3743525,Apach
47.4435067,6.5662558,Appenans
47.8781778,3.523723,Appoigny
49.2684901,4.9875785,Apremont
47.7644923,5.2231353,Aprey
47.7397149,5.9283668,Arbecey
47.8577977,5.6106453,Arbigny-sous-Varennes
47.8500709,5.009856,Arbot
46.9114839,6.0030978,"Arc-sous-
Montenot"
48.1049938,3.6111195,Arces-Dilo
47.275926,4.8279805,Arcey
49.2353279,3.6951934,Arcis-le-Ponsart
48.5362425,4.1421213,Arcis-sur-Aube
48.1614128,4.7250872,Arconville
47.6019482,3.7558445,Arcy-sur-Cure
48.2515629,4.6037646,Argançon
49.06854,4.85442,Argers
46.3935,5.56614,Arinthod
47.0446878,4.0217543,Arleuf
48.04524,3.32208,Armeau
47.4583225,3.5469756,Armes
47.1309349,4.4858635,Arnay-le-Duc
49.4129355,5.6579572,Arrancy-sur-Crusne
47.6964067,4.3191406,Arrans
48.0486365,4.2754243,Arrelles
48.145,6.865,Arrentès-de-Corcieux
48.1454792,6.8651754,Arrentès-de-Corcieux
48.2629753,4.7433113,Arrentières
48.6242504,4.7078066,Arrigny
48.2681338,4.6511011,Arsonval
46.7226098,6.0814698,"Arsure-
Arsurette"
46.2456386,4.0114577,Artaix
43.7067,6.0914,Artignosc-sur-Verdon
48.6444058,4.589103,Arzillières-Neuville
43.92411,7.013397,Ascros
47.3088547,3.5527881,Asnan
47.7193535,4.2744169,"Asnières-en-
Montagne"
47.4817857,3.6474407,"Asnières-sous-
Bois"
47.39791,3.59661,Asnois
48.6545137,6.9624243,Aspach
44.494546,5.727654,Aspremont
43.782621,7.243767,Aspremont
44.521234,5.749111,Aspres-sur-Buëch
47.481747,3.7539269,Asquins
48.7711587,6.7950431,Assenoncourt
48.881944,7.220833,Asswiller
48.8804749,7.2206209,Asswiller
47.2306416,5.3710449,Athée
47.5666051,4.2533644,Athie
43.930787,5.681216,Aubenas-les-Alpes
47.7862246,5.0622145,Auberive
44.1306,5.9697,Aubignosc
46.9867,4.60921,"Aubigny-la-
Ronce"
49.1450962,5.0828957,Aubréville
50.1032047,4.7625256,Aubrives
49.3693335,5.8954035,Audun-le-Roman
49.4728242,5.9572377,Audun-le-Tiche
47.775,5.89744,Augicourt
47.7673144,3.609067,Augy
47.7404862,5.1829665,Aujeurres
48.8225778,4.5632731,Aulnay-l'Aître
48.6334899,5.1284318,Aulnois-en-Perthois
47.8339517,5.0329488,Aulnoy-sur-Aube
49.4176978,5.9425418,Aumetz
47.1166811,3.6997418,"Aunay-en-
Bazois"
43.6317,6.2272,Aups
44.132449,5.426559,Aurel
43.6008,6.9133,Auribeau-sur-Siagne
47.2716889,3.4158843,Authiou
44.240772,6.126938,Authon
48.4736307,5.1366503,Autigny-le-Grand
48.4819873,5.1352716,Autigny-le-Petit
49.03504,5.13777,Autrécourt-sur-Aire
48.6117116,6.799984,Autrepierre
49.56129,5.12789,Autréville-Saint-Lambert
47.9976327,4.6199574,Autricourt
46.9510313,4.2989478,Autun
43.987627,6.909714,Auvare
49.0342339,4.6940069,Auve
47.1234813,4.6241504,Auxant
47.7341934,6.7797653,Auxelles-Bas
47.7431487,6.7737271,Auxelles-Haut
47.7961287,3.570579,Auxerre
47.1936509,5.3882954,Auxonne
46.9494706,4.4032618,Auxy
44.295,6.3178,Auzet
47.4885365,3.9070658,Avallon
48.4230292,3.5705101,Avant-lès-Marcilly
46.3898786,5.8454762,"Avignon-lès-
Saint-Claude"
48.312028,6.20882,Avillers
49.0318305,5.7001575,Avillers-Sainte-Croix
49.5675532,5.3910039,Avioth
48.0262622,4.3007845,Avirey-Lingey
48.3893512,3.6541093,Avon-la-Pèze
49.2871745,5.9652054,Avril
49.2915836,5.466924,Azannes-et-Soumazannes
48.4876895,6.6953759,Azerailles
48.738986,6.8101582,Azoudange
49.4881786,5.2402596,Baâlon
48.4487414,6.7381417,Baccarat
47.4975497,6.94083,Badevel
48.8392,7.0858,Baerendorf
48.8379199,7.0853576,Baerendorf
48.9753928,7.5183231,Baerenthal
48.2320591,3.5944098,Bagneaux
48.5576079,3.8289736,Bagneux
48.5576079,3.8289736,Bagneux
47.9928095,4.2977071,Bagneux-la-Fosse
43.542576,6.696854,Bagnols-en-Forêt
43.979846,7.126865,Bairols
47.7511057,5.2506011,Baissey
46.455666,5.3568493,Balanod
47.9856,4.195549,Balnot-la-Grange
48.0320862,4.3646353,Balnot-sur-Laignes
47.8135819,4.4290786,Balot
47.6696152,7.1688307,Balschwiller
48.245,7.0658,Ban-de-Laveline
48.2446925,7.0666503,Ban-de-Laveline
48.1733,6.98,Ban-sur-Meurthe-Clefcy
48.1743067,6.9774316,Ban-sur-Meurthe-Clefcy
48.80235,3.91765,Bannes
44.0379409,5.629559,Banon
46.6092713,5.1122438,Bantanges
49.352766,5.0879342,Bantheville
48.2332047,4.7058337,Bar-sur-Aube
48.1126529,4.3759103,Bar-sur-Seine
48.5734862,6.8471904,Barbas
48.5575679,3.5772702,Barbuise
44.436722,5.920086,Barcillonnette
47.1446907,4.3152704,"Bard-le-
Régulier"
47.2706,5.63006,"Bard-lès-
Pesmes"
47.2128437,5.060142,Barges
44.2644,6.2689,Barles
47.087342,4.336336,Barnay
48.1925484,4.7240572,Baroville
44.1056,6.1139,Barras
43.9542,6.3686,Barrême
49.0671982,6.8319042,Barst
49.4337961,5.7598227,Baslieux
49.3249344,3.7131449,Baslieux-lès-Fismes
49.4835426,6.2033524,Basse-Rentgen
47.8160464,6.1798827,Bassigney
48.8684082,6.8014037,Bassing
48.8319881,4.6930462,Bassu
48.7987163,4.6691036,Bassuet
47.2496294,6.7126529,Battenans-Varin
48.57489,3.77539,Baudement
46.287257,4.2853814,Baudemont
43.71355,6.129341,Baudinard-sur-Verdon
47.7786111,6.3447909,Baudoncourt
48.6879485,5.0174944,Baudonvilliers
43.732158,6.175346,Bauduen
46.2977806,4.028304,Baugy
47.7863,6.01153,Baulay
49.26203,5.01388,Baulny
47.8213999,5.0640997,Bay-sur-Aube
48.5606913,5.0513747,Bayard-sur-Marne
48.1984211,4.7760961,Bayel
44.340302,6.161957,Bayons
49.408153,5.7629207,Bazailles
47.66041,3.66217,Bazarnes
49.4967868,5.4296417,Bazeilles-sur-Othain
47.3782125,3.7854929,Bazoches
47.1430845,3.6179409,Bazolles
47.9039637,5.2416625,Beauchemin
49.4581056,5.1148692,Beauclair
47.4851387,6.9256448,Beaucourt
49.4721685,5.1141267,Beaufort-en-Argonne
44.206819,6.370697,Beaujeu
47.7277699,4.7269377,Beaulieu
49.0316343,5.065612,Beaulieu-en-Argonne
44.1222,5.0267,Beaumes-de-Venise
47.9192479,3.5574358,Beaumont
49.5385125,5.0572887,Beaumont-en-Argonne
47.678517,4.7058097,Beaunotte
44.1444,6.5922,Beauvezer
47.4132174,4.0407225,Beauvilliers
47.7941856,3.3703864,Beauvoir
49.2097959,5.7401565,Béchamps
44.1231,5.1783,Bédoin
48.8639,8.0847,Beinheim
48.8632757,8.0844618,Beinheim
47.9436951,4.6550999,"Belan-sur-
Ource"
47.7838258,6.7313309,Belfahy
47.2589245,6.8948419,Belfays
48.04231,3.6079,Bellechaume
