Commune,INSEE,Latitude,Longitude
Île-d'Houat,56086,47.3865,-2.9762
Île-aux-Moines,56087,47.5842,-2.8511
Île-d'Arz,56088,47.5879,-2.799
Josselin,56091,47.9548,-2.5517
Kerfourn,56092,48.0466,-2.8402
Kergrist,56093,48.1454,-2.9292
Langoëlan,56099,48.1175,-3.2354
Forges de Lanouée,56102,48.0144,-2.5781
Lantillac,56103,47.9513,-2.6576
Lignol,56110,48.0248,-3.2697
Locmalo,56113,48.0626,-3.1824
Locmaria,56114,47.3012,-3.1071
Malguénac,56125,48.0669,-3.0593
Melrand,56128,47.9732,-3.1005
Mohon,56134,48.0643,-2.495
Neulliac,56146,48.1247,-2.9614
Noyal-Pontivy,56151,48.0544,-2.8786
Le Palais,56152,47.3407,-3.1664
Persquen,56156,48.0131,-3.2174
Ploërdut,56163,48.0979,-3.2802
Pontivy,56178,48.0663,-2.9697
Rieux,56194,47.6063,-2.1288
Rohan,56198,48.0891,-2.7475
Saint-Aignan,56203,48.1801,-3.0493
Sainte-Brigitte,56209,48.1777,-3.1048
Saint-Caradec-Trégomel,56210,48.0338,-3.3458
Saint-Gérand-Croixanvec,56213,48.119,-2.8825
Saint-Gonnery,56215,48.1248,-2.8208
Saint-Gorgon,56216,47.6424,-2.2371
Saint-Jacut-les-Pins,56221,47.6765,-2.2041
Saint-Jean-la-Poterie,56223,47.645,-2.1192
Saint-Malo-des-Trois-Fontaines,56227,48.0145,-2.4741
Saint-Martin-sur-Oust,56229,47.7619,-2.2664
Saint-Nicolas-du-Tertre,56230,47.7943,-2.2163
Saint-Perreux,56232,47.6708,-2.1249
Saint-Servant,56236,47.8968,-2.508
Saint-Thuriau,56237,48.02,-2.9438
Saint-Tugdual,56238,48.0955,-3.3672
Saint-Vincent-sur-Oust,56239,47.702,-2.149
Sauzon,56241,47.356,-3.2295
Séglien,56242,48.102,-3.1481
Silfiac,56245,48.1475,-3.171
Le Sourn,56246,48.0375,-2.9944
Théhillac,56250,47.552,-2.1208
Tréal,56253,47.83,-2.2332
La Trinité-Porhoët,56257,48.0992,-2.524
