territoire,commune,code_commune,latitude,longitude
Corte 2817 Venaco 28341 Zone d'intervention prioritaire,Venaco,28341,42.2318667,9.1725660
Corte 2817 Casanova 28074 Zone d'intervention prioritaire,Casanova,28074,42.2543336,9.1746169
Corte 2817 Alando 28005 Zone d'intervention prioritaire,Alando,28005,42.3063333,9.2906225
Corte 2817 Muracciole 28171 Zone d'intervention prioritaire,Muracciole,28171,42.1693962,9.1840119
Corte 2B17 Vivario 2B354 Zone d'intervention prioritaire,Vivario,2B354,42.1721316,9.1696353
Corte 2817 Riventosa 28260 Zone d'intervention prioritaire,Riventosa,28260,42.2522735,9.1835672
Corte 2317 Sermano 28275 Zone d'intervention prioritaire,Sermano,28275,42.3139200,9.2671600
Corte 2817 Poggio-di-Venaco 28238 Zone d'intervention prioritaire,Poggio-di-Venaco,28238,42.2576499,9.1863476
Corte 2817 Corscia 2B095 Zone d'intervention prioritaire,Corscia,2B095,42.3553585,9.0440062
Corte 2B17 Pietraserena 2B226 Zone d'intervention prioritaire,Pietraserena,2B226,42.2366842,9.3449444
Corte 2B17 Santo-Pietro-di-Venaco 28315 Zone d'intervention prioritaire,Santo-Pietro-di-Venaco,28315,42.2457628,9.1725822
Corte 2817 Noceta 28177 Zone d'intervention prioritaire,Noceta,28177,42.1986254,9.2104570
Fiumorbu 2814 Ghisonaccia 28123 Zone d'intervention prioritaire,Ghisonaccia,28123,42.0149385,9.4053600
Fiumorbu 2814 Chisa 2B366 Zone d'intervention prioritaire,Chisa,2B366,41.9251460,9.2626006
Fiumorbu 2814 Aghione 2B002 Zone d'intervention prioritaire,Aghione,2B002,42.1114192,9.4005486
Fiumorbu 2814 San-Gavino-di-Fiumorbo 2B365 Zone d'intervention prioritaire,San-Gavino-di-Fiumorbo,2B365,41.9825369,9.2689085
Fiumorbu 2B14 Solaro 28283 Zone d'intervention prioritaire,Solaro,28283,41.9044965,9.3282868
Fiumorbu 2814 Pietroso 28229 Zone d'intervention prioritaire,Pietroso,28229,42.1570909,9.2707497
Fiumorbu 2814 Sari-Solenzara 2A269 Zone d'intervention prioritaire,Sari-Solenzara,2A269,41.8164422,9.3451368
Fiumorbu 2814 Isolaccio-di-Fiumorbo 28135 Zone d'intervention prioritaire,Isolaccio-di-Fiumorbo,28135,42.0020919,9.2816237
Fiumorbu 2814 Ventiseri 28342 Zone d'intervention prioritaire,Ventiseri,28342,41.9431721,9.3331152
Fiumorbu 2814 Prunelli-di-Fiumorbo 28251 Zone d'intervention prioritaire,Prunelli-di-Fiumorbo,28251,42.0105024,9.3246227
