code_insee,commune,dep,latitude,longitude
59253,Fresnes-sur-Escaut,59,50.4321092,3.5801267
59261,Glageon,59,50.0582983,4.0742106
59264,Gognies-Chaussée,59,50.3392405,3.9435615
59272,Grand-Fort-Philippe,59,51.0014456,2.1045965
59273,Gravelines,59,50.9870697,2.1273118
59283,Hargnies,59,50.2556765,3.8437674
59285,Haspres,59,50.2601290,3.4157380
59291,Hautmont,59,50.2513704,3.9200611
59297,Hélesmes,59,50.3627432,3.3598607
59306,Hestrud,59,50.2022161,4.1548102
59311,Honnechy,59,50.0691941,3.4715728
59314,Hornaing,59,50.3694000,3.3373600
59324,Jeumont,59,50.2971012,4.0996569
59333,Larouillies,59,50.0387817,3.9260736
59136,Le Cateau-Cambrésis,59,50.1058353,3.5417479
59344,Leval,59,50.1789453,3.8306751
59351,Limont-Fontaine,59,50.2182238,3.9232950
59359,Loon-Plage,59,50.9946103,2.2192457
59361,Lourches,59,50.3149962,3.3532859
59365,Louvroil,59,50.2644717,3.9623154
59370,Mairieux,59,50.3119149,3.9824097
59375,Marchiennes,59,50.4075026,3.2825837
59385,Marpent,59,50.2930252,4.0809622
59392,Maubeuge,59,50.2796417,3.9674127
59394,Maurois,59,50.0766539,3.4648901
59395,Mazinghien,59,50.0512301,3.6023828
59406,Monceau-Saint-Waast,59,50.1733306,3.8567253
59412,Montay,59,50.1193196,3.5408561
59420,Moustier-en-Fagne,59,50.0959445,4.1963994
59424,Neuf-Mesnil,59,50.2663032,3.9066923
59429,Neuville-sur-Escaut,59,50.2993698,3.3523537
59439,Noyelles-sur-Sambre,59,50.1575333,3.7999994
59440,Noyelles-sur-Selle,59,50.2787866,3.3824159
59442,Obrechies,59,50.2198458,4.0265362
59445,Ohain,59,50.0398225,4.1191981
59465,Pommereuil,59,50.1127197,3.5964643
59467,Pont-sur-Sambre,59,50.2215226,3.8485702
59474,Prisches,59,50.0795428,3.7711446
59483,Quiévelon,59,50.2380762,4.0746227
59490,Rainsars,59,50.0707591,3.9918246
59495,Recquignies,59,50.2856052,4.0429290
59496,Rejet-de-Beaulieu,59,50.0424664,3.6312513
59498,Reumont,59,50.0825479,3.4831649
59504,Roeulx,59,50.3075282,3.3344358
59514,Rousies,59,50.2726393,4.0052619
59530,Saint-Aybert,59,50.4476661,3.6550860
59531,Saint-Benin,59,50.0769091,3.5333062
59542,Saint-Remy-Chaussée,59,50.1716825,3.8707698
59543,Saint-Remy-du-Nord,59,50.2296440,3.9031228
59545,Saint-Souplet,59,50.0567192,3.5281716
59556,Sassegnies,59,50.1792260,3.8040967
59569,Sin-le-Noble,59,50.3644331,3.1117295
59573,Solrinnes,59,50.2061928,4.0738851
59576,Spycker,59,50.9684357,2.3229610
59583,Taisnières-en-Thiérache,59,50.1474486,3.8152185
59589,Thiant,59,50.3045875,3.4494452
59591,Thivencelle,59,50.4466936,3.6286811
59596,Tilloy-lez-Marchiennes,59,50.4254506,3.3184044
59601,Trélon,59,50.0611640,4.1035648
59604,Troisvilles,59,50.1046108,3.4706483
59610,Verchain-Maugré,59,50.2666859,3.4747473
59613,Vicq,59,50.4149063,3.6087303
59616,Vieux-Condé,59,50.4724228,3.5675784
59617,Vieux-Mesnil,59,50.2612689,3.8713807
59618,Vieux-Reng,59,50.3279199,4.0462265
59622,Villers-en-Cauchies,59,50.2246093,3.4012615
59627,Villers-Sire-Nicole,59,50.3395950,4.0167636
59633,Wallers-en-Fagne,59,50.0631729,4.1729783
59637,Wandignies-Hamage,59,50.3981058,3.3256351
59642,Warlaing,59,50.4102803,3.3272881
59649,Wattignies-la-Victoire,59,50.2002808,4.0108149
59654,Waziers,59,50.3852060,3.1079103
59659,Wignehies,59,50.0139910,4.0040972
60010,Amblainville,60,49.2028875,2.1208837
60012,Andeville,60,49.2597000,2.1685200
60013,Angicourt,60,49.3119451,2.5049821
60014,Angivillers,60,49.4866509,2.5012695
60015,Angy,60,49.3297487,2.3291689
60016,Ansacq,60,49.3446836,2.3597858
60017,Ansauvillers,60,49.5657757,2.3873322
60021,Appilly,60,49.5825062,3.1179142
60031,Autheuil-en-Valois,60,49.1747814,3.0596209
60034,Avrechy,60,49.4482873,2.4271147
60041,Bailleul-sur-Thérain,60,49.3844940,2.2227114
60042,Bailleval,60,49.3474065,2.4571783
60044,Balagny-sur-Thérain,60,49.2959835,2.3361068
60052,Beaugies-sous-Bois,60,49.6372593,3.1008027
60065,Berthecourt,60,49.3504915,2.2244617
60083,Bonneuil-en-Valois,60,49.2853295,2.9904837
60094,Boursonne,60,49.2023802,3.0472338
60102,Brenouille,60,49.3022750,2.5283108
60103,Bresles,60,49.4091281,2.2525151
60112,Brunvillers-la-Motte,60,49.5490569,2.4502093
60115,Bulles,60,49.4598673,2.3269895
60116,Bury,60,49.3132772,2.3439338
60130,Catenoy,60,49.3678919,2.5101864
60133,Catillon-Fumechon,60,49.5192458,2.3682228
60134,Cauffry,60,49.3169260,2.4492290
60135,Cauvigny,60,49.3008171,2.2482915
60154,Cinqueux,60,49.3194308,2.5273788
60155,Cires-lès-Mello,60,49.2714584,2.3559541
60162,Corbeil-Cerf,60,49.2805814,2.1038190
60186,Cuignières,60,49.4514167,2.4716631
60207,Éméville,60,49.2840249,3.0277961
60216,Erquinvillers,60,49.4581484,2.4764775
60218,Esches,60,49.2173026,2.1673656
60222,Essuiles,60,49.4794937,2.2931002
60236,Flavy-le-Meldeux,60,49.6860382,3.0459496
60249,Foulangues,60,49.2754350,2.3157480
60251,Fouquerolles,60,49.4571121,2.2150319
60252,Fournival,60,49.4669587,2.3872401
60256,Fresneaux-Montchevreuil,60,49.2907450,2.0132081
60268,Gannes,60,49.5692826,2.4224369
60278,Golancourt,60,49.7069536,3.0699610
60302,Haudivillers,60,49.4874694,2.2436000
60307,Heilles,60,49.3347406,2.2628598
60309,Hénonville,60,49.2081637,2.0522538
60313,Hermes,60,49.3571636,2.2461658
60316,Hodenc-l'Évêque,60,49.3367080,2.1486811
60317,Hondainville,60,49.3382183,2.3017765
60320,Ivors,60,49.2004746,3.0151878
60321,Ivry-le-Temple,60,49.2296066,2.0303540
60196,La Drenne,60,49.3028968,2.0953240
60311,La Hérelle,60,49.5926401,2.4112421
60454,La Neuville-en-Hez,60,49.4049967,2.3250154
60559,La Rue-Saint-Pierre,60,49.4101347,2.2960046
60679,La Villeneuve-sous-Thury,60,49.1562752,3.0614840
60330,Laboissière-en-Thelle,60,49.2881695,2.1581700
60332,Labruyère,60,49.3522182,2.5092529
60355,Laversines,60,49.4270805,2.1938088
60165,Le Coudray-sur-Thelle,60,49.3061107,2.1223209
60230,Le Fay-Saint-Quentin,60,49.4489101,2.2479909
60400,Le Mesnil-sur-Bulles,60,49.4857600,2.3451320
60497,Le Plessier-sur-Bulles,60,49.4944956,2.3143974
60498,Le Plessier-sur-Saint-Just,60,49.5109959,2.4535506
60520,Le Quesnel-Aubry,60,49.5085341,2.3102008
60360,Liancourt,60,49.3312000,2.4659100
60362,Libermont,60,49.6941886,2.9732309
60364,Lieuvillers,60,49.4701599,2.4960691
60366,Litz,60,49.4160155,2.3304030
60370,Lormaison,60,49.2566300,2.1045000
60380,Mareuil-sur-Ourcq,60,49.1363330,3.0790475
60385,Marolles,60,49.1703650,3.1044017
60393,Mello,60,49.2729955,2.3644583
60395,Méru,60,49.2361978,2.1355087
60404,Mogneville,60,49.3152982,2.4715315
60406,Monceaux,60,49.3196007,2.5510617
60410,Mondescourt,60,49.5975248,3.1115941
60426,Montreuil-sur-Thérain,60,49.3804757,2.1935464
60427,Monts,60,49.2174941,2.0150032
60433,Mortefontaine-en-Thelle,60,49.2654144,2.1881832
60437,Mouchy-le-Châtel,60,49.3264357,2.2505039
60439,Mouy,60,49.3196544,2.3205165
60448,Neufchelles,60,49.1142077,3.0596526
60452,Neuville-Bosc,60,49.2002862,2.0120618
60462,Noailles,60,49.3269000,2.2000013
60466,Noroy,60,49.4489056,2.5024778
60468,Nourard-le-Franc,60,49.4993891,2.3734749
60469,Novillers,60,49.2706339,2.2143508
60495,Plainval,60,49.5287427,2.4415343
60504,Ponchon,60,49.3471204,2.1956623
60512,Pouilly,60,49.2733471,2.0319006
60522,Quinquempoix,60,49.5513400,2.4260908
60524,Rantigny,60,49.3311881,2.4400980
60526,Ravenel,60,49.5145450,2.5039066
60530,Rémérangles,60,49.4459525,2.2858422
60542,Rochy-Condé,60,49.4031119,2.1788811
60547,Rosoy,60,49.3412025,2.4990153
60562,Sacy-le-Grand,60,49.3537045,2.5432509
60570,Saint-Crépin-Ibouvillers,60,49.2615617,2.0699501
60575,Sainte-Geneviève,60,49.2873658,2.1994569
60581,Saint-Just-en-Chaussée,60,49.5052334,2.4337604
60595,Saint-Remy-en-l'Eau,60,49.4712040,2.4312732
60613,Senots,60,49.2645309,1.9935139
60620,Silly-Tillard,60,49.3251581,2.1566309
60638,Thury-sous-Clermont,60,49.3569145,2.3215152
60651,Ully-Saint-Georges,60,49.2791908,2.2802794
60652,Valdampierre,60,49.3035832,2.0512006
60653,Valescourt,60,49.4830138,2.4364961
60658,Vauciennes,60,49.2361378,3.0287798
60669,Verderonne,60,49.3297709,2.4981611
60672,Vez,60,49.2645975,3.0016953
60678,Villeneuve-les-Sablons,60,49.2374486,2.0759909
60685,Villers-Saint-Sépulcre,60,49.3657583,2.2153096
60693,Villeselve,60,49.6975572,3.1121418
60701,Wavignies,60,49.5468450,2.3581498
62023,Allouagne,62,50.5325000,2.5070600
62028,Ames,62,50.5367150,2.4086536
62029,Amettes,62,50.5311285,2.3948399
62033,Annay,62,50.4628000,2.8855000
62046,Aubin-Saint-Vaast,62,50.3976597,1.9744794
62048,Auchel,62,50.5037492,2.4682059
62049,Auchy-au-Bois,62,50.5551792,2.3710472
62050,Auchy-lès-Hesdin,62,50.3988228,2.1019554
62057,Audruicq,62,50.8786489,2.0752362
62058,Aumerval,62,50.5064815,2.3991876
62060,Auxi-le-Château,62,50.2314908,2.1177614
62071,Bailleul-lès-Pernes,62,50.5100039,2.3876004
62083,Barlin,62,50.4568365,2.6174771
62090,Béalencourt,62,50.4353371,2.1215379
62881,Beauvoir-Wavans,62,50.2184741,2.1630850
62138,Blangy-sur-Ternoise,62,50.4214500,2.1695600
62142,Blingel,62,50.4078300,2.1473100
62143,Boffles,62,50.2539884,2.2028515
62661,Bouin-Plumoison,62,50.3819815,1.9886858
62162,Bourecq,62,50.5716484,2.4339323
62171,Boyaval,62,50.4742993,2.3040875
62175,Brévillers,62,50.3458741,2.0153571
62182,Buire-au-Bois,62,50.2623174,2.1520198
62190,Busnes,62,50.5873143,2.5180387
62194,Calonne-Ricouart,62,50.4869689,2.4817620
62212,Capelle-lès-Hesdin,62,50.3412666,1.9983719
62217,Cauchy-à-la-Tour,62,50.5031042,2.4521125
62219,Caumont,62,50.2889755,2.0307790
62220,Cavron-Saint-Martin,62,50.4177070,1.9998341
62222,Chériennes,62,50.3136300,2.0353100
62236,Contes,62,50.4073056,1.9650258
62282,Éclimeux,62,50.3987890,2.1786889
62286,Ecquedecques,62,50.5621192,2.4487029
62327,Febvin-Palfart,62,50.5384847,2.3157971
62328,Ferfay,62,50.5195834,2.4227692
62333,Fiefs,62,50.5034427,2.3288853
62340,Floringhem,62,50.4969382,2.4257334
62342,Fontaine-lès-Boulans,62,50.4983600,2.2752927
62344,Fontaine-lès-Hermans,62,50.5260594,2.3494417
62345,Fontaine-l'Étalon,62,50.3047120,2.0641039
